	text	airline_sentiment	at	polarity	label
0	Trabajar en Ryanair como TMA:  empleo	neutral		0.23039143426199443	0
1	  Cuando gusten en Cancún se viaja y disfruta de manera sin igual	neutral	@Iberia	0.025043790071517295	0
2	Sabiais que  te trata muy bien en santiago de chile?Te cambia el asiento,te manda a volar en el wc trasero,e… 	negative		0.3509412747676124	2
3	"NUNCA NUNCA NUNCA pidáis el café de Ryanair.
Bueno, nada que vendan a bordo."	negative		0.00030495380396539453	2
4	         Muchos éxito… 	positive	@cris_tortu	0.5550046396563949	1
5	 Wow que bonito , yo solo he volado unas 3 o 4 veces en un 747 de  y siempre fue a tu tierra :)	positive	@mgd_1970	0.007875521561270526	1
6	Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… 	neutral		0.07007665747187106	0
7	Barómetro Business: Iberia (57%) y Vueling (61%) son las compañías aéreas más utilizadas en los viajes de… 	positive		0.11849973829534108	1
8	 Felicitaciones IBERIA!	positive	@Iberia	0.49789225920557484	1
9	   Chuata, yo tengo un Madrid - Stgo en un par de semanas. Habrá que cruzar los dedos!	neutral	@cbellolio	0.509642068380126	0
10	"Disponibilidad aérea Internacional en los siguientes destinos:
 ✈ARGENTINA-GOL AIRLINES 600$
 ✈MADRID-IBERIA AIRLIN… "	neutral		0.9444064643371282	0
11	Ahora... 	neutral		0.26287357984472953	0
12	Con  mi destino a un solo click. ¡Deseadme suerte! HolaArgentina. Hola 79 destinos europeos al mejor precio 	neutral		0.00694959441669791	0
13	Air France KLM, al igual que Iberia, eliminó la duplicidad de avales de las agencias | Nexotur 	neutral		0.11693200575198663	0
14	Un año de estos nos unirán con el resto de iberia. ¿No decían en Cataluña que el AVE en Galicia no era rentable? 	negative		8.364844639731032e-05	2
15	 Lo de ryanair es penoso...yo sólo viajo con ellos si no tengo otra alternativa...	negative	@Alpaniagu	0.0005251772062610816	2
16	 Además, he intentado hacer d nuevo la compracon otra tarjeta y no me lo permite aunq en la tarjeta tenga di… 	negative	@Iberia	2.29004275992525e-06	2
17	          Una suerte poder volar, pero especialmente aterrizar 👉✌😜	positive	@algoqrecordar	0.33718495826155365	1
18	La mejor foto tecnológica del año 2017  WomenInTechSpain redhat  Red Hat Iberia Country Manager	neutral		0.4661503266996471	0
19	📉 🔥 ¡Chollo! Maleta Aerolite barata por sólo 37,99 € Enlace: 	positive		0.26645814620233865	1
20	OMG! 🤯 Estoy viendo que Iberia tiene en agosto vuelo directo a San Francisco (y vuelta) y mi corazón está saltando… 	positive		0.8353289499664475	1
21	 Iberia es la ETA Militar de las aerolineas. Mis peores experiencias han sido todas con ellos	negative	@javidevicalvaro	4.804712453896022e-05	2
22	 Hola Andrea. Mi pareja ya tiene sentencia firme por el abandono de Iberia en Praga. Le han indemnizado c… 	negative	@andreaesv	9.742410413410675e-05	2
23	  llegando a Málaga por Ryanair, nos pusieron una musiquita por el altavoz que nos encenti… 	negative	@flandivar	0.0008366818557554316	2
24	  Finalmente  tuvo que proporcionarme una autorización para viajar, pero esto es lamentable y me… 	negative	@Iberia	3.6084266157503705e-06	2
25	 Pues la verdad es que no. Pocas explicaciones, ninguna alternativa tenida en cuenta, etc. Dejando mucho que desear.	negative	@Iberia	3.907920657445818e-11	2
26	Con  mi destino a un solo click. ¡Deseadme suerte! HolaArgentina. Hola 79 destinos europeos al mejor precio 	neutral		0.00694959441669791	0
27	En  ofrecen un 10% de descuento a los asistentes a GijónSeCome con el código de descuento IIGIJONSECOME 	neutral		0.03127704265544666	0
28	 Hice una compra de pasaje y nunca llegó el mail con la confirmación, si bien figura la reserva ingresando e… 	negative	@Iberia	0.0001673297996481849	2
29	 Acabo de venir del mostrador de Atención al cliente donde me mandan a llamar al teléfono. Lo chistoso es qu… 	negative	@Iberia	1.010588941769236e-05	2
30	          	negative	@C5_CDMX	0.49789225920557484	2
31	Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] 	neutral		0.6450087684755177	0
32	Hoy hace 90 años que Iberia levantó el vuelo y unió Madrid y Barcelona 	neutral		0.6374764500086473	0
33	Mañana regresamos a casa a pasar las fiestas y  no podrá comer nada porque  no le puede ofrecer… 	negative		3.42965266642727e-06	2
34	 Pues ya sabes, Iberia y billete cerrado.	neutral	@vmm7773	0.026191888363195522	0
35	    IBERIA PERDIÓ MI MALETA HACE 5 DIAS CON MIS MEDICAMENTOS ADENTRO Y NO ME… 	negative	@Milenio	0.0031492714923013346	2
36	 Qué buenos tiempos del B-747, el avión por excelencia. Volveremos a verlo de nuevo en IB?	positive	@Iberia	0.8851367857633577	1
37	Vergonzoso.  cancela el vuelo Chicago-Madrid del 21 de diciembre porque si. Y a los que viajamos para un par… 	negative		0.7385068167574081	2
38	      ¿Cuándo he dicho yo que Ryanair haya actuado bi… 	negative	@Rayv_	0.003995141888259067	2
39	El Black Friday, también en Iberia 	neutral		0.6290207925970277	0
40	Pués, fué tan desagradable que yo no gastaría dinero en IBERIA.	negative		1.0599696796122232e-05	2
41	Un pasajero sale por la puerta de emergencia de un avion de Ryanair cansado de esperar mas de una hora 	negative		4.062912828633609e-07	2
42	 RT POR FAVOR: PASAJEROS QUE IBERIA LES DEMORA LA DEVOLUCION DEL DINERO. JODAMOSLOS. RETUITEEMOS y COMPARTAM… 	negative	@Iberia	0.00014082894738025732	2
43	  Jajajajajja llevate el pasaporte también lu	neutral	@Luci_rodg	0.6388733437275337	0
44	" 

¿Me ayudas a difundir, por favor? "	neutral	@unchinodechina	0.005757017791787329	0
45	  Yo he volado en vuelos de Niki que operaba Air Berlín. Había una colaboración estre… 	neutral	@OverflightStorm	0.022425869710750876	0
46	 No atiende las reclamaciones de indemnización por retraso superior a tres horas, a pesar de saber que TIENE… 	negative	@Iberia	0.0012334615136613955	2
47	Me consta que es una vergüenza. 	negative		1.6336482653302056e-06	2
48	    A mi me suena que hace tiempo llevó al Barça desde El Prat a un amistoso en el Golfo.	positive	@Sr_JOF	0.0665080354866961	1
49	  Calera (Iberia lo apoya) fue al TAS, para que el descenso sea para el colista del transición y no del promedio, como ahora	neutral	@gatm80	0.0012069593916732618	0
50	    Mil gracias Luis 😘😘😘	positive	@luismipedrero	0.4205677702781785	1
51	"Qué placer viajar con Ryanair
La nueva política de equipajes de Ryanair entrará en vigor el próximo mes… "	positive		0.5665559427359699	1
52	Hola  He hecho check in con la app, después de muchos meses y la experiencia ha sido brutalmente buena. 👌🙂👏🏻	positive		0.0008987725142034932	1
53	 Hola! Mi vuelo Viena-Madrid va a salir con 15 minutos de retraso gracias a  Tengo un billete… 	negative	@ALSA_Autobuses	0.4482539097074279	2
54	 Ahorrar está sobrevalorado, a mi Ryanair me está poniendo ojitos	positive	@mewimausi	0.557926220825404	1
55	 me siento estafado	negative	@Ryanair	0.0728752984896165	2
56	Deberían quitarles la licencia y que sean otras compañías más serias las que ocupen su lugar. 	negative		0.0021325057858950446	2
57	Ryanair pide a sus pilotos que abandonen sus planes de huelga  	negative		0.07168595725436454	2
58	  Yo puse una reclamación una vez porque  me metió en un avión que parecía de la Primera Guerra Mundial!!!!	negative	@mariajo_suarez	0.00015455435307901424	2
59	  Felicitaciones	positive	@Iberia	0.49789225920557484	1
60	   Buen despegue!!. A veces veo spotters en esa zona	positive	@Eduspalace	0.10665280145626894	1
61	IAG transportó un 4,1% más de pasajeros en 2017 gracias al empuje de Iberia 	positive		0.08063780235125986	1
62	 Felices fiestas!!! Es una pena que ya los venezolanos no podamos volar con ustedes. Mi experiencia siempre… 	positive	@Iberia	1.7080350087840172e-06	1
63	Antonio Baldellou, nuevo Director de Instalaciones Existentes y Modernizaciones de Schindler Iberia - Recursos Huma… 	neutral		0.4021464494676804	0
64	Iberia Tripulante de Cabina de Pasajeros 	neutral		0.42507619662732005	0
65	Primer vuelo de mi vida perdido gracias a la ayuda de   worstflightcompany	negative		0.0014378181229255055	2
